"LAU2","sampY","sampM","sampD"
"EE00100370651",2016,1,15
"EE00100370651",2016,1,16
"EE00100370651",2016,1,17
"EE00100370651",2016,1,18
"EE00100370651",2016,1,19
"EE00100370651",2016,1,20
"EE00100370651",2016,1,21
"EE00100370651",2016,1,22
"EE00100370651",2016,1,23
"EE00100370651",2016,1,24
"EE00100370651",2016,1,25
"EE00100370651",2016,1,26
"EE00100370651",2016,1,27
"EE00100370651",2016,1,28
"EE00100370651",2016,1,29
"EE00100370651",2016,1,30
"EE00100370651",2016,1,31
"EE00100370651",2016,2,1
"EE00100370651",2016,2,2
"EE00100370651",2016,2,3
"EE00100370651",2016,2,4
"EE00100370651",2016,2,5
"EE00100370651",2016,2,6
"EE00100370651",2016,2,7
"EE00100370651",2016,2,8
"EE00100370651",2016,2,9
"EE00100370651",2016,2,10
"EE00100370651",2016,2,11
"EE00100370651",2016,2,12
"EE00100370651",2016,2,13
"EE00100370651",2016,2,15
"EE00100370651",2016,2,14
"EE00100370651",2016,2,16
"EE00100370651",2016,2,17
"EE00100370651",2016,2,18
"EE00100370651",2016,2,19
"EE00100370651",2016,2,20
"EE00100370651",2016,2,21
"EE00100370651",2016,2,22
"EE00100370651",2016,2,23
"EE00100370651",2016,2,24
"EE00100370651",2016,2,25
"EE00100370651",2016,2,26
"EE00100370651",2016,2,27
"EE00100370651",2016,2,28
"EE00100370651",2016,2,29
"EE00100370653",2016,1,1
"EE00100370653",2015,12,31
"EE00100370653",2016,1,4
"EE00100370653",2016,1,2
"EE00100370653",2016,1,3
"EE00100370653",2016,1,5
"EE00100370653",2016,1,6
"EE00100370653",2016,1,7
"EE00100370653",2016,1,8
"EE00100370653",2016,1,9
"EE00100370653",2016,1,10
"EE00100370653",2016,1,11
"EE00100370653",2016,1,12
"EE00100370653",2016,1,13
"EE00100370653",2016,1,14
"EE00100370653",2016,1,15
"EE00100370653",2016,1,16
"EE00100370653",2016,1,17
"EE00100370653",2016,1,18
"EE00100370653",2016,1,19
"EE00100370653",2016,1,20
"EE00100370653",2016,1,21
"EE00100370653",2016,1,22
"EE00100370653",2016,1,23
"EE00100370653",2016,1,24
"EE00100370653",2016,1,25
"EE00100370653",2016,1,26
"EE00100370653",2016,1,27
"EE00100370653",2016,1,28
"EE00100370653",2016,1,29
"EE00100370653",2016,1,30
"EE00100370653",2016,1,31
"EE00100370653",2016,2,1
"EE00100370653",2016,2,2
"EE00100370653",2016,2,3
"EE00100370653",2016,2,4
"EE00100370653",2016,2,5
"EE00100370653",2016,2,6
"EE00100370653",2016,2,7
"EE00100370653",2016,2,8
"EE00100370653",2016,2,9
"EE00100370653",2016,2,10
"EE00100370653",2016,2,11
"EE00100370653",2016,2,12
"EE00100370653",2016,2,13
"EE00100370653",2016,2,15
"EE00100370653",2016,2,14
"EE00100370653",2016,2,16
"EE00100370653",2016,2,17
"EE00100370653",2016,2,18
"EE00100370653",2016,2,19
"EE00100370653",2016,2,20
"EE00100370653",2016,2,21
"EE00100370653",2016,2,22
"EE00100370653",2016,2,23
"EE00100370653",2016,2,24
"EE00100370653",2016,2,25
"EE00100370653",2016,2,26
"EE00100370653",2016,2,27
"EE00100370653",2016,2,28
"EE00100370653",2016,2,29
"EE00100370718",2016,1,1
"EE00100370718",2015,12,31
"EE00100370718",2016,1,4
"EE00100370718",2016,1,2
"EE00100370718",2016,1,3
"EE00100370718",2016,1,5
"EE00100370718",2016,1,6
"EE00100370718",2016,1,7
"EE00100370718",2016,1,8
"EE00100370718",2016,1,9
"EE00100370718",2016,1,10
"EE00100370718",2016,1,11
"EE00100370718",2016,1,12
"EE00100370718",2016,1,13
"EE00100370718",2016,1,14
"EE00100370718",2016,1,15
"EE00100370718",2016,1,16
"EE00100370718",2016,1,17
"EE00100370718",2016,1,18
"EE00100370718",2016,1,19
"EE00100370718",2016,1,20
"EE00100370718",2016,1,21
"EE00100370718",2016,1,22
"EE00100370718",2016,1,23
"EE00100370718",2016,1,24
"EE00100370718",2016,1,25
"EE00100370718",2016,1,26
"EE00100370718",2016,1,27
"EE00100370718",2016,1,28
"EE00100370718",2016,1,29
"EE00100370718",2016,1,30
"EE00100370718",2016,1,31
"EE00100370718",2016,2,1
"EE00100370718",2016,2,2
"EE00100370718",2016,2,3
"EE00100370718",2016,2,4
"EE00100370718",2016,2,5
"EE00100370718",2016,2,6
"EE00100370718",2016,2,7
"EE00100370718",2016,2,8
"EE00100370718",2016,2,9
"EE00100370718",2016,2,10
"EE00100370718",2016,2,11
"EE00100370718",2016,2,12
"EE00100370718",2016,2,13
"EE00100370718",2016,2,15
"EE00100370718",2016,2,14
"EE00100370718",2016,2,16
"EE00100370718",2016,2,17
"EE00100370718",2016,2,18
"EE00100370718",2016,2,19
"EE00100370718",2016,2,20
"EE00100370718",2016,2,21
"EE00100370718",2016,2,22
"EE00100370718",2016,2,23
"EE00100370718",2016,2,24
"EE00100370718",2016,2,25
"EE00100370718",2016,2,26
"EE00100370718",2016,2,27
"EE00100370718",2016,2,28
"EE00100370718",2016,2,29
"EE00100370727",2016,1,1
"EE00100370727",2015,12,31
"EE00100370727",2016,1,4
"EE00100370727",2016,1,2
"EE00100370727",2016,1,3
"EE00100370727",2016,1,5
"EE00100370727",2016,1,6
"EE00100370727",2016,1,7
"EE00100370727",2016,1,8
"EE00100370727",2016,1,9
"EE00100370727",2016,1,10
"EE00100370727",2016,1,11
"EE00100370727",2016,1,12
"EE00100370727",2016,1,13
"EE00100370727",2016,1,14
"EE00100370727",2016,1,15
"EE00100370727",2016,1,16
"EE00100370727",2016,1,17
"EE00100370727",2016,1,18
"EE00100370727",2016,1,19
"EE00100370727",2016,1,20
"EE00100370727",2016,1,21
"EE00100370727",2016,1,22
"EE00100370727",2016,1,23
"EE00100370727",2016,1,24
"EE00100370727",2016,1,25
"EE00100370727",2016,1,26
"EE00100370727",2016,1,27
"EE00100370727",2016,1,28
"EE00100370727",2016,1,29
"EE00100370727",2016,1,30
"EE00100370727",2016,1,31
"EE00100370727",2016,2,1
"EE00100370727",2016,2,2
"EE00100370727",2016,2,3
"EE00100370727",2016,2,4
"EE00100370727",2016,2,5
"EE00100370727",2016,2,6
"EE00100370727",2016,2,7
"EE00100370727",2016,2,8
"EE00100370727",2016,2,9
"EE00100370727",2016,2,10
"EE00100370727",2016,2,11
"EE00100370727",2016,2,12
"EE00100370727",2016,2,13
"EE00100370727",2016,2,15
"EE00100370727",2016,2,14
"EE00100370727",2016,2,16
"EE00100370727",2016,2,17
"EE00100370727",2016,2,18
"EE00100370727",2016,2,19
"EE00100370727",2016,2,20
"EE00100370727",2016,2,21
"EE00100370727",2016,2,22
"EE00100370727",2016,2,23
"EE00100370727",2016,2,24
"EE00100370727",2016,2,25
"EE00100370727",2016,2,26
"EE00100370727",2016,2,27
"EE00100370727",2016,2,28
"EE00100370727",2016,2,29
"EE00100370728",2016,1,1
"EE00100370728",2015,12,31
"EE00100370728",2016,1,4
"EE00100370728",2016,1,2
"EE00100370728",2016,1,3
"EE00100370728",2016,1,5
"EE00100370728",2016,1,6
"EE00100370728",2016,1,7
"EE00100370728",2016,1,8
"EE00100370728",2016,1,9
"EE00100370728",2016,1,10
"EE00100370728",2016,1,11
"EE00100370728",2016,1,12
"EE00100370728",2016,1,13
"EE00100370728",2016,1,14
"EE00100370728",2016,1,15
"EE00100370728",2016,1,16
"EE00100370728",2016,1,17
"EE00100370728",2016,1,18
"EE00100370728",2016,1,19
"EE00100370728",2016,1,20
"EE00100370728",2016,1,21
"EE00100370728",2016,1,22
"EE00100370728",2016,1,23
"EE00100370728",2016,1,24
"EE00100370728",2016,1,25
"EE00100370728",2016,1,26
"EE00100370728",2016,1,27
"EE00100370728",2016,1,28
"EE00100370728",2016,1,29
"EE00100370728",2016,1,30
"EE00100370728",2016,1,31
"EE00100370728",2016,2,1
"EE00100370728",2016,2,2
"EE00100370728",2016,2,3
"EE00100370728",2016,2,4
"EE00100370728",2016,2,5
"EE00100370728",2016,2,6
"EE00100370728",2016,2,7
"EE00100370728",2016,2,8
"EE00100370728",2016,2,9
"EE00100370728",2016,2,10
"EE00100370728",2016,2,11
"EE00100370728",2016,2,12
"EE00100370728",2016,2,13
"EE00100370728",2016,2,15
"EE00100370728",2016,2,14
"EE00100370728",2016,2,16
"EE00100370728",2016,2,17
"EE00100370728",2016,2,18
"EE00100370728",2016,2,19
"EE00100370728",2016,2,20
"EE00100370728",2016,2,21
"EE00100370728",2016,2,22
"EE00100370728",2016,2,23
"EE00100370728",2016,2,24
"EE00100370728",2016,2,25
"EE00100370728",2016,2,26
"EE00100370728",2016,2,27
"EE00100370728",2016,2,28
"EE00100370728",2016,2,29
"EE00100370784",2016,1,1
"EE00100370784",2015,12,31
"EE00100370784",2016,1,4
"EE00100370784",2016,1,2
"EE00100370784",2016,1,3
"EE00100370784",2016,1,5
"EE00100370784",2016,1,6
"EE00100370784",2016,1,7
"EE00100370784",2016,1,8
"EE00100370784",2016,1,9
"EE00100370784",2016,1,10
"EE00100370784",2016,1,11
"EE00100370784",2016,1,12
"EE00100370784",2016,1,13
"EE00100370784",2016,1,14
"EE00100370784",2016,1,15
"EE00100370784",2016,1,16
"EE00100370784",2016,1,17
"EE00100370784",2016,1,18
"EE00100370784",2016,1,19
"EE00100370784",2016,1,20
"EE00100370784",2016,1,21
"EE00100370784",2016,1,22
"EE00100370784",2016,1,23
"EE00100370784",2016,1,24
"EE00100370784",2016,1,25
"EE00100370784",2016,1,26
"EE00100370784",2016,1,27
"EE00100370784",2016,1,28
"EE00100370784",2016,1,29
"EE00100370784",2016,1,30
"EE00100370784",2016,1,31
"EE00100370784",2016,2,1
"EE00100370784",2016,2,2
"EE00100370784",2016,2,3
"EE00100370784",2016,2,4
"EE00100370784",2016,2,5
"EE00100370784",2016,2,6
"EE00100370784",2016,2,7
"EE00100370784",2016,2,8
"EE00100370784",2016,2,9
"EE00100370784",2016,2,10
"EE00100370784",2016,2,11
"EE00100370784",2016,2,12
"EE00100370784",2016,2,13
"EE00100370784",2016,2,15
"EE00100370784",2016,2,14
"EE00100370784",2016,2,16
"EE00100370784",2016,2,17
"EE00100370784",2016,2,18
"EE00100370784",2016,2,19
"EE00100370784",2016,2,20
"EE00100370784",2016,2,21
"EE00100370784",2016,2,22
"EE00100370784",2016,2,23
"EE00100370784",2016,2,24
"EE00100370784",2016,2,25
"EE00100370784",2016,2,26
"EE00100370784",2016,2,27
"EE00100370784",2016,2,28
"EE00100370784",2016,2,29
"EE00100370868",2016,1,1
"EE00100370868",2015,12,31
"EE00100370868",2016,1,4
"EE00100370868",2016,1,2
"EE00100370868",2016,1,3
"EE00100370868",2016,1,5
"EE00100370868",2016,1,6
"EE00100370868",2016,1,7
"EE00100370868",2016,1,8
"EE00100370868",2016,1,9
"EE00100370868",2016,1,10
"EE00100370868",2016,1,11
"EE00100370868",2016,1,12
"EE00100370868",2016,1,13
"EE00100370868",2016,1,14
"EE00100370868",2016,1,15
"EE00100370868",2016,1,16
"EE00100370868",2016,1,17
"EE00100370868",2016,1,18
"EE00100370868",2016,1,19
"EE00100370868",2016,1,20
"EE00100370868",2016,1,21
"EE00100370868",2016,1,22
"EE00100370868",2016,1,23
"EE00100370868",2016,1,24
"EE00100370868",2016,1,25
"EE00100370868",2016,1,26
"EE00100370868",2016,1,27
"EE00100370868",2016,1,28
"EE00100370868",2016,1,29
"EE00100370868",2016,1,30
"EE00100370868",2016,1,31
"EE00100370868",2016,2,1
"EE00100370868",2016,2,2
"EE00100370868",2016,2,3
"EE00100370868",2016,2,4
"EE00100370868",2016,2,5
"EE00100370868",2016,2,6
"EE00100370868",2016,2,7
"EE00100370868",2016,2,8
"EE00100370868",2016,2,9
"EE00100370868",2016,2,10
"EE00100370868",2016,2,11
"EE00100370868",2016,2,12
"EE00100370868",2016,2,13
"EE00100370868",2016,2,15
"EE00100370868",2016,2,14
"EE00100370868",2016,2,16
"EE00100370868",2016,2,17
"EE00100370868",2016,2,18
"EE00100370868",2016,2,19
"EE00100370868",2016,2,20
"EE00100370868",2016,2,21
"EE00100370868",2016,2,22
"EE00100370868",2016,2,23
"EE00100370868",2016,2,24
"EE00100370868",2016,2,25
"EE00100370868",2016,2,26
"EE00100370868",2016,2,27
"EE00100370868",2016,2,28
"EE00100370868",2016,2,29
"EE00100370890",2016,1,1
"EE00100370890",2015,12,31
"EE00100370890",2016,1,4
"EE00100370890",2016,1,2
"EE00100370890",2016,1,3
"EE00100370890",2016,1,5
"EE00100370890",2016,1,6
"EE00100370890",2016,1,7
"EE00100370890",2016,1,8
"EE00100370890",2016,1,9
"EE00100370890",2016,1,10
"EE00100370890",2016,1,11
"EE00100370890",2016,1,12
"EE00100370890",2016,1,13
"EE00100370890",2016,1,14
"EE00100370890",2016,1,15
"EE00100370890",2016,1,16
"EE00100370890",2016,1,17
"EE00100370890",2016,1,18
"EE00100370890",2016,1,19
"EE00100370890",2016,1,20
"EE00100370890",2016,1,21
"EE00100370890",2016,1,22
"EE00100370890",2016,1,23
"EE00100370890",2016,1,24
"EE00100370890",2016,1,25
"EE00100370890",2016,1,26
"EE00100370890",2016,1,27
"EE00100370890",2016,1,28
"EE00100370890",2016,1,29
"EE00100370890",2016,1,30
"EE00100370890",2016,1,31
"EE00100370890",2016,2,1
"EE00100370890",2016,2,2
"EE00100370890",2016,2,3
"EE00100370890",2016,2,4
"EE00100370890",2016,2,5
"EE00100370890",2016,2,6
"EE00100370890",2016,2,7
"EE00100370890",2016,2,8
"EE00100370890",2016,2,9
"EE00100370890",2016,2,10
"EE00100370890",2016,2,11
"EE00100370890",2016,2,12
"EE00100370890",2016,2,13
"EE00100370890",2016,2,15
"EE00100370890",2016,2,14
"EE00100370890",2016,2,16
"EE00100370890",2016,2,17
"EE00100370890",2016,2,18
"EE00100370890",2016,2,19
"EE00100370890",2016,2,20
"EE00100370890",2016,2,21
"EE00100370890",2016,2,22
"EE00100370890",2016,2,23
"EE00100370890",2016,2,24
"EE00100370890",2016,2,25
"EE00100370890",2016,2,26
"EE00100370890",2016,2,27
"EE00100370890",2016,2,28
"EE00100370890",2016,2,29
"EE00400390175",2016,1,1
"EE00400390175",2015,12,31
"EE00400390175",2016,1,4
"EE00400390175",2016,1,2
"EE00400390175",2016,1,3
"EE00400390175",2016,1,5
"EE00400390175",2016,1,6
"EE00400390175",2016,1,7
"EE00400390175",2016,1,8
"EE00400390175",2016,1,9
"EE00400390175",2016,1,10
"EE00400390175",2016,1,11
"EE00400390175",2016,1,12
"EE00400390175",2016,1,13
"EE00400390175",2016,1,14
"EE00400390175",2016,1,15
"EE00400390175",2016,1,16
"EE00400390175",2016,1,17
"EE00400390175",2016,1,18
"EE00400390175",2016,1,19
"EE00400390175",2016,1,20
"EE00400390175",2016,1,21
"EE00400390175",2016,1,22
"EE00400390175",2016,1,23
"EE00400390175",2016,1,24
"EE00400390175",2016,1,25
"EE00400390175",2016,1,26
"EE00400390175",2016,1,27
"EE00400390175",2016,1,28
"EE00400390175",2016,1,29
"EE00400390175",2016,1,30
"EE00400390175",2016,1,31
"EE00400390175",2016,2,1
"EE00400390175",2016,2,2
"EE00400390175",2016,2,3
"EE00400390175",2016,2,4
"EE00400390175",2016,2,5
"EE00400390175",2016,2,6
"EE00400390175",2016,2,7
"EE00400390175",2016,2,8
"EE00400390175",2016,2,9
"EE00400390175",2016,2,10
"EE00400390175",2016,2,11
"EE00400390175",2016,2,12
"EE00400390175",2016,2,13
"EE00400390175",2016,2,15
"EE00400390175",2016,2,14
"EE00400390175",2016,2,16
"EE00400390175",2016,2,17
"EE00400390175",2016,2,18
"EE00400390175",2016,2,19
"EE00400390175",2016,2,20
"EE00400390175",2016,2,21
"EE00400390175",2016,2,22
"EE00400390175",2016,2,23
"EE00400390175",2016,2,24
"EE00400390175",2016,2,25
"EE00400390175",2016,2,26
"EE00400390175",2016,2,27
"EE00400390175",2016,2,28
"EE00400390175",2016,2,29
"EE00400390204",2016,1,1
"EE00400390204",2015,12,31
"EE00400390204",2016,1,4
"EE00400390204",2016,1,2
"EE00400390204",2016,1,3
"EE00400390204",2016,1,5
"EE00400390204",2016,1,6
"EE00400390204",2016,1,7
"EE00400390204",2016,1,8
"EE00400390204",2016,1,9
"EE00400390204",2016,1,10
"EE00400390204",2016,1,11
"EE00400390204",2016,1,12
"EE00400390204",2016,1,13
"EE00400390204",2016,1,14
"EE00400390204",2016,1,15
"EE00400390204",2016,1,16
"EE00400390204",2016,1,17
"EE00400390204",2016,1,18
"EE00400390204",2016,1,19
"EE00400390204",2016,1,20
"EE00400390204",2016,1,21
"EE00400390204",2016,1,22
"EE00400390204",2016,1,23
"EE00400390204",2016,1,24
"EE00400390204",2016,1,25
"EE00400390204",2016,1,26
"EE00400390204",2016,1,27
"EE00400390204",2016,1,28
"EE00400390204",2016,1,29
"EE00400390204",2016,1,30
"EE00400390204",2016,1,31
"EE00400390204",2016,2,1
"EE00400390204",2016,2,2
"EE00400390204",2016,2,3
"EE00400390204",2016,2,4
"EE00400390204",2016,2,5
"EE00400390204",2016,2,6
"EE00400390204",2016,2,7
"EE00400390204",2016,2,8
"EE00400390204",2016,2,9
"EE00400390204",2016,2,10
"EE00400390204",2016,2,11
"EE00400390204",2016,2,12
"EE00400390204",2016,2,13
"EE00400390204",2016,2,15
"EE00400390204",2016,2,14
"EE00400390204",2016,2,16
"EE00400390204",2016,2,17
"EE00400390204",2016,2,18
"EE00400390204",2016,2,19
"EE00400390204",2016,2,20
"EE00400390204",2016,2,21
"EE00400390204",2016,2,22
"EE00400390204",2016,2,23
"EE00400390204",2016,2,24
"EE00400390204",2016,2,25
"EE00400390204",2016,2,26
"EE00400390204",2016,2,27
"EE00400390204",2016,2,28
"EE00400390204",2016,2,29
"EE00400390368",2016,1,1
"EE00400390368",2015,12,31
"EE00400390368",2016,1,4
"EE00400390368",2016,1,2
"EE00400390368",2016,1,3
"EE00400390368",2016,1,5
"EE00400390368",2016,1,6
"EE00400390368",2016,1,7
"EE00400390368",2016,1,8
"EE00400390368",2016,1,9
"EE00400390368",2016,1,10
"EE00400390368",2016,1,11
"EE00400390368",2016,1,12
"EE00400390368",2016,1,13
"EE00400390368",2016,1,14
"EE00400390368",2016,1,15
"EE00400390368",2016,1,16
"EE00400390368",2016,1,17
"EE00400390368",2016,1,18
"EE00400390368",2016,1,19
"EE00400390368",2016,1,20
"EE00400390368",2016,1,21
"EE00400390368",2016,1,22
"EE00400390368",2016,1,23
"EE00400390368",2016,1,24
"EE00400390368",2016,1,25
"EE00400390368",2016,1,26
"EE00400390368",2016,1,27
"EE00400390368",2016,1,28
"EE00400390368",2016,1,29
"EE00400390368",2016,1,30
"EE00400390368",2016,1,31
"EE00400390368",2016,2,1
"EE00400390368",2016,2,2
"EE00400390368",2016,2,3
"EE00400390368",2016,2,4
"EE00400390368",2016,2,5
"EE00400390368",2016,2,6
"EE00400390368",2016,2,7
"EE00400390368",2016,2,8
"EE00400390368",2016,2,9
"EE00400390368",2016,2,10
"EE00400390368",2016,2,11
"EE00400390368",2016,2,12
"EE00400390368",2016,2,13
"EE00400390368",2016,2,15
"EE00400390368",2016,2,14
"EE00400390368",2016,2,16
"EE00400390368",2016,2,17
"EE00400390368",2016,2,18
"EE00400390368",2016,2,19
"EE00400390368",2016,2,20
"EE00400390368",2016,2,21
"EE00400390368",2016,2,22
"EE00400390368",2016,2,23
"EE00400390368",2016,2,24
"EE00400390368",2016,2,25
"EE00400390368",2016,2,26
"EE00400390368",2016,2,27
"EE00400390368",2016,2,28
"EE00400390368",2016,2,29
"EE00400390639",2016,1,1
"EE00400390639",2015,12,31
"EE00400390639",2016,1,4
"EE00400390639",2016,1,2
"EE00400390639",2016,1,3
"EE00400390639",2016,1,5
"EE00400390639",2016,1,6
"EE00400390639",2016,1,7
"EE00400390639",2016,1,8
"EE00400390639",2016,1,9
"EE00400390639",2016,1,10
"EE00400390639",2016,1,11
"EE00400390639",2016,1,12
"EE00400390639",2016,1,13
"EE00400390639",2016,1,14
"EE00400390639",2016,1,15
"EE00400390639",2016,1,16
"EE00400390639",2016,1,17
"EE00400390639",2016,1,18
"EE00400390639",2016,1,19
"EE00400390639",2016,1,20
"EE00400390639",2016,1,21
"EE00400390639",2016,1,22
"EE00400390639",2016,1,23
"EE00400390639",2016,1,24
"EE00400390639",2016,1,25
"EE00400390639",2016,1,26
"EE00400390639",2016,1,27
"EE00400390639",2016,1,28
"EE00400390639",2016,1,29
"EE00400390639",2016,1,30
"EE00400390639",2016,1,31
"EE00400390639",2016,2,1
"EE00400390639",2016,2,2
"EE00400390639",2016,2,3
"EE00400390639",2016,2,4
"EE00400390639",2016,2,5
"EE00400390639",2016,2,6
"EE00400390639",2016,2,7
"EE00400390639",2016,2,8
"EE00400390639",2016,2,9
"EE00400390639",2016,2,10
"EE00400390639",2016,2,11
"EE00400390639",2016,2,12
"EE00400390639",2016,2,13
"EE00400390639",2016,2,15
"EE00400390639",2016,2,14
"EE00400390639",2016,2,16
"EE00400390639",2016,2,17
"EE00400390639",2016,2,18
"EE00400390639",2016,2,19
"EE00400390639",2016,2,20
"EE00400390639",2016,2,21
"EE00400390639",2016,2,22
"EE00400390639",2016,2,23
"EE00400390639",2016,2,24
"EE00400390639",2016,2,25
"EE00400390639",2016,2,26
"EE00400390639",2016,2,27
"EE00400390639",2016,2,28
"EE00400390639",2016,2,29
"EE00400570183",2016,1,1
"EE00400570183",2015,12,31
"EE00400570183",2016,1,4
"EE00400570183",2016,1,2
"EE00400570183",2016,1,3
"EE00400570183",2016,1,5
"EE00400570183",2016,1,6
"EE00400570183",2016,1,7
"EE00400570183",2016,1,8
"EE00400570183",2016,1,9
"EE00400570183",2016,1,10
"EE00400570183",2016,1,11
"EE00400570183",2016,1,12
"EE00400570183",2016,1,13
"EE00400570183",2016,1,14
"EE00400570183",2016,1,15
"EE00400570183",2016,1,16
"EE00400570183",2016,1,17
"EE00400570183",2016,1,18
"EE00400570183",2016,1,19
"EE00400570183",2016,1,20
"EE00400570183",2016,1,21
"EE00400570183",2016,1,22
"EE00400570183",2016,1,23
"EE00400570183",2016,1,24
"EE00400570183",2016,1,25
"EE00400570183",2016,1,26
"EE00400570183",2016,1,27
"EE00400570183",2016,1,28
"EE00400570183",2016,1,29
"EE00400570183",2016,1,30
"EE00400570183",2016,1,31
"EE00400570183",2016,2,1
"EE00400570183",2016,2,2
"EE00400570183",2016,2,3
"EE00400570183",2016,2,4
"EE00400570183",2016,2,5
"EE00400570183",2016,2,6
"EE00400570183",2016,2,7
"EE00400570183",2016,2,8
"EE00400570183",2016,2,9
"EE00400570183",2016,2,10
"EE00400570183",2016,2,11
"EE00400570183",2016,2,12
"EE00400570183",2016,2,13
"EE00400570183",2016,2,15
"EE00400570183",2016,2,14
"EE00400570183",2016,2,16
"EE00400570183",2016,2,17
"EE00400570183",2016,2,18
"EE00400570183",2016,2,19
"EE00400570183",2016,2,20
"EE00400570183",2016,2,21
"EE00400570183",2016,2,22
"EE00400570183",2016,2,23
"EE00400570183",2016,2,24
"EE00400570183",2016,2,25
"EE00400570183",2016,2,26
"EE00400570183",2016,2,27
"EE00400570183",2016,2,28
"EE00400570183",2016,2,29
"EE00400570195",2016,1,1
"EE00400570195",2015,12,31
"EE00400570195",2016,1,4
"EE00400570195",2016,1,2
"EE00400570195",2016,1,3
"EE00400570195",2016,1,5
"EE00400570195",2016,1,6
"EE00400570195",2016,1,7
"EE00400570195",2016,1,8
"EE00400570195",2016,1,9
"EE00400570195",2016,1,10
"EE00400570195",2016,1,11
"EE00400570195",2016,1,12
"EE00400570195",2016,1,13
"EE00400570195",2016,1,14
"EE00400570195",2016,1,15
"EE00400570195",2016,1,16
"EE00400570195",2016,1,17
"EE00400570195",2016,1,18
"EE00400570195",2016,1,19
"EE00400570195",2016,1,20
"EE00400570195",2016,1,21
"EE00400570195",2016,1,22
"EE00400570195",2016,1,23
"EE00400570195",2016,1,24
"EE00400570195",2016,1,25
"EE00400570195",2016,1,26
"EE00400570195",2016,1,27
"EE00400570195",2016,1,28
"EE00400570195",2016,1,29
"EE00400570195",2016,1,30
"EE00400570195",2016,1,31
"EE00400570195",2016,2,1
"EE00400570195",2016,2,2
"EE00400570195",2016,2,3
"EE00400570195",2016,2,4
"EE00400570195",2016,2,5
"EE00400570195",2016,2,6
"EE00400570195",2016,2,7
"EE00400570195",2016,2,8
"EE00400570195",2016,2,9
